Title,Company,Job Description,Skills,Location,Work Type
Talent Acquisition Specialist - IT,Green Clover,"End-to-End Recruitment Ownership Manage the complete recruitment lifecycle for open positions, ensuring cost-effective methods and adherence to company policies and processes. Stakeholder Collaboration Partner closely with hiring managers to support and guide them through the hiring process, including defining qualification criteria and optimizing assessment strategies. Hiring Manager Enablement Deliver coaching and training to upskill hiring managers, helping them become proficient and confide…","Recruitment, Talent Acquisition","Mumbai, Maharashtra",Onsite
Visa Executive,Seven Consultancy,"Key Responsibilities: Client Consultation: Provide expert guidance to clients on visa, Green Card, and other immigration documentation requirements. Visa Application Processing: Consult, prepare, and accurately process visa applications for LCC T&R clients, ensuring compliance with all guidelines. Embassy Coordination: Liaise with embassies, consulates, and visa processing centers to facilitate smooth application submission and approvals. Client Interaction: Interview clients face-to-face or vi…",R,"Ranchi, Jharkhand",Onsite
Human Resources Business Partner,Policybazaar.com,"Job Description- HRBP Executive Experience- 1–2yrs Job Location- Bengaluru A sound HR professional with credibility in the business, with good stakeholder relationships, and who gets things done. Responsible for all HR processes, workflows, systems, employee communication, and policies. This role requires a strategic thinker with excellent interpersonal and communication skills. Key Responsibilities: Work closely with management and employees to improve work relationships, build morale and incr…","Excel, Excel, Communication",Bengaluru,Onsite
HR operations,Acme Services,"Key Responsibilities: Employee Lifecycle Management : Oversee the entire employee lifecycle, including onboarding, contract management, promotions, transfers, and offboarding. Ensure accurate and up-to-date records for all employees are maintained in the HRIS (Human Resources Information System). Coordinate and manage documentation related to employee promotions, salary adjustments, and performance appraisals. HR Compliance & Policies : Ensure adherence to company policies and compliance with l…",,"Mumbai, Maharashtra",Onsite
Senior HR Executive,Praveza Consultancy Private Limited,"Company Name: Rocker Finance Pvt Ltd Title : Senior HR Executive Job Type: Full Time, Work From Office. Location : Chennai Years of Experience :5-6 yrs Salary : 5LPA  Master’s degree in Human Resource Management or related field.  5-6 years of working experience as an HR Executive, HR Analyst, or a similar role in the field  Human Resources department.  Excellent knowledge and understanding of the HR cycle.  Ability to demonstrate good leadership skills.  Good conflict resolution abilitie…","Excel, Excel, Leadership","Chennai, Tamil Nadu",Onsite
Male HR Recruiter / TA Executive ggn based MNC 30k,Sana Search International,"Job description We are hiring for Recruiters / Senior Recruiters for Noida location. Required Skills: 1. Candidate should have at least 6 months of experience in BPO / Call Centre environment in hiring, bulk hiring, lateral hiring, and able to do sourcing, screening, and shortlisting of CVs as per the client's requirements. Should be responsible for end-to-end recruitment 2. Graduation is a must. 3. Should have good communication skills. 4. Will prefer someone who can join immediately. Salary -…","Recruitment, Communication","Gurgaon, Haryana",Onsite
Specialist- Learning & Development,Unnati,"Our client is one of the big 4 global management consultancy companies that focuses on achieving outcomes par excellence, by working alongside its clients, who are ambitious change makers across industries, as one team and thus redefining the industries. They serve across industries such as financial services, aviation, energy and natural resources, aerospace and defense, automotive, technology, retail, health care, etc. They provide consultancy services in various categories including but not …","Excel, Excel",Bengaluru,Onsite
Business Development Manager – Recruitment Services (Individual Contributor),The Search House,"Business Development Manager – Recruitment Services (Individual Contributor) Location: Chandigarh / Mohali / Tricity, Punjab, Himachal Pradesh (Baddi, Solan, Parwanoo), Ludhiana & surrounding industrial regions Work Model: Work-from-Home / Hybrid / Co-working Industry: Recruitment / Executive Search / HR Services Employment Type: Full-time Role Summary: Individual Contributor role with full ownership of business development for recruitment services across the region. The role involves independe…",Recruitment,"Chandigarh, India",Hybrid
"HR Recruitment, HR operations",Masadir Hr Services,"Key Responsibilities 1. Recruitment & Talent Acquisition Understand manpower requirements from department heads and create job descriptions. Source candidates through job portals, LinkedIn, consultants, employee referrals, and other channels. Screen resumes, conduct initial interviews (telephonic/video), and schedule interviews with hiring managers. Coordinate and manage interview logistics, feedback collection, and offer roll-out. Conduct reference checks and negotiate salary as per HR guideli…","Recruitment, Talent Acquisition","Mumbai, Maharashtra",Onsite
"Branch Manager, Broking",Quick Turtle,"1) Knowledge of distribution, operations, customer service, human resources, administration, and sales. 2) Knowledge of Broking Products, Insurance, Investment products like Mutual Funds, PMS, AIF. 3) Develop forecasts, financial objectives, and business plans 4) Meet goals and metrics 5) Manage budget and allocate funds appropriately 6) Provide branch personnel with training, c oaching, development, and motivation 7) Adhere to high ethical standards, and comply with all regulations/applicable …",,"Pune, Maharashtra",Onsite
US IT Recruiter,Unknown,"Shift: Night Timings: 6:30pm - 4:00amWe are looking for a Technical Recruiter to join our U.S Staffing department and help us grow our IT teams. Technical Recruiter responsibilities include sourcing, screening and providing a shortlist of qualified candidates for various technical roles.Responsibilities: Write and post technical job descriptions. Source potential candidates on niche platforms, like Stack Overflow, Dice, Monster, Career builder and Github. Parse specialized skills and qualificat…",GitHub,"Hyderabad, Telangana",Onsite
Talent Acquisition Specialist (Contract),Greenway Health,"Note: This is a contractual role for a period of 3 months with Greenway Health. Working hours for this role are strictly aligned with US business hours. Role Overview We are looking for a proactive and tech-savvy Talent Acquisition Specialist to manage end-to-end recruitment across multiple roles and business units. This role requires strong stakeholder partnership and hiring expertise, along with a working knowledge of Excel and data analysis to prepare recruitment reports. A keen interest in …","Data Analysis, Excel, Recruitment, Talent Acquisition, Excel",India,Onsite
Senior HR Executive,Acme Services,"Accountable for End to End Recruitment : Right from understanding the requirement from Hiring Managers, sourcing and screening the profiles, conducting HR interviews and Ensuring candidate joins on stipulated date by continuous follow up. Should be target oriented to and have experience on managing high volume positions. Should have good experience with Pipeline Management & Quality of Hires. Analyse requirements and plan delivery along with Recruitment Heads and Managers with cost effective me…",Recruitment,"Mumbai, Maharashtra",Onsite
Lead - Managerial Capability Development,Suzlon Group,"Job Purpose: The Leading Managerial Capability Development at Suzlon Energy Ltd. will be responsible for creating and executing a comprehensive development strategy aimed at enhancing the managerial and supervisory capabilities across the organization. This role is essential for ensuring that managers and supervisors are equipped with the necessary skills to lead their teams effectively, drive operational excellence, and contribute to the company’s strategic objectives. Key Responsibilities Dev…","Excel, Excel",India,Onsite
Administrator - Learning and Development,MUFG Global Service,"About Us: MUFG Bank, Ltd. is Japans premier bank, with a global network spanning in more than 40 markets. Outside of Japan, the bank offers an extensive scope of commercial and investment banking products and services to businesses, governments and individuals worldwide. MUFG Banks parent, Mitsubishi UFJ Financial Group, Inc. (MUFG) is one of the worlds leading financial groups. Headquartered in Tokyo and with over 360 years of history, the Group has about 120,000 employees and offers services …",,Bengaluru,Onsite
IT Recruiter,Incruiter,"EXCITED ABOUT YOUR TASKS? ● Liaise with clients to understand role requirements in order to source the most suitable candidates ● Source, screen and compile a shortlist of qualified candidates for various technical roles ● Screen the candidates to ensure we put forward the best quality candidates to clients ● Recruit senior IT profiles, with a focus on functional expertise ●Communicate with hiring managers in order to understand vacancy requirements fully ● Establish a strategy in order to deli…",,Bengaluru,Onsite
HR Manager,Unknown,"Responsilbe for Scheduling Interviews, Conducting Meetings, Training and Interviews, Managing Staff Salary, Pf, Bonus, Solving Employees Problems.",,"Lucknow, Uttar Pradesh",Onsite
Manager - HR,Unnati,"With the ever-increasing demand in the Indian electric mobility sector for reducing the toxic emissions caused by vehicles, our client focuses on E-Bike subscriptions and offers subscription plans that include insurance, service etc. Their offers include various advantages that include but are not limited to, zero fuel expense, zero initial investment, zero maintenance cost, free insurance cover, etc. Headquartered in Gurugram, our client was co-founded by veteran entrepreneurs one of whom is a…",,"Delhi, India",Onsite
"Sr People & Culture Manager, APAC",EarnIn,"About EarnIn As one of the first pioneers of earned wage access, our passion at EarnIn is building products that deliver real-time financial flexibility for those with the unique needs of living paycheck to paycheck. Our community members access their earnings as they earn them, with options to spend, save, and grow their money without mandatory fees, interest rates, or credit checks. We’re fortunate to have an incredibly experienced leadership team, combined with world-class funding partners l…",Leadership,Bengaluru,Onsite
Sales Development Manager,Bacardi,"YOUR OPPORTUNITY This is a unique opportunity to shape the future of a high-performing Commercial Organization across India and the Southeast Asia region. As the Commercial Capability Manager, you will be at the forefront of developing and executing a capability roadmap that directly supports business growth and strategic priorities. You will be the architect of a robust training ecosystem—identifying skill gaps, crafting dynamic content, and delivering impactful learning experiences across div…",,"Gurgaon, Haryana",Onsite
Intern Recruitment Specialist / Talent Acquisition,MobileFirst Applications Private Limited,"Profile : Graduation is a must Minimum of 6 months relevant working experience. Excellent English– written and verbal – communication skills. Ability to persuade and influence. Able to work with people from different cultural background. Key responsibilities You will be responsible for Recruitment of candidates on a Junior level. Manage hiring managers and candidate relationships at a professional level. Partner with recruiters to determine business needs, identify skill gaps and solicit input …","Excel, Recruitment, Talent Acquisition, Excel, Communication",India,Onsite
Communication Specialist,Arrow Electronics,"Position: Communication Specialist Job Description: Principal Accountabilities ? Builds the communication strategy and oversee content for communication vehicles. ? Support stakeholder management activities at all levels of the organization. ? Help develop the communication tools and processes for stakeholder issue management and resolution. ? Performing needs assessments to evaluate communication content, delivery methods and overall effectiveness. ? Partnering with project leadership, busines…","Leadership, Communication","Ahmedabad, Gujarat",Onsite
IFS - HCSC Administrator - Associate,PricewaterhouseCoopers,"Industry/Sector Not Applicable Specialism IFS - Human Capital (HC) Management Level Associate Job Description & Summary At PwC, our people in people operations primarily focus on managing the people lifecycle and the day-to-day operational tasks related to managing employees. This includes activities such as employee onboarding, offboarding, payroll and benefits administration, absence management, employee record-keeping, compliance with labour laws and regulations, and managing employee inquir…",Payroll,India,Onsite
Jr Executive - RCM Services,CorroHealth,"About Us: Our purpose is to help clients exceed their financial health goals. Across the reimbursement cycle, our scalable solutions and clinical expertise help solve programmatic needs. Enabling our teams with leading technology allows analytics to guide our solutions and keeps us accountable achieving goals. We build long-term careers by investing in YOU. We seek to create an environment that cultivates your professional development and personal growth, as we believe your success is our succe…",Scala,"Noida, Ghaziabad",Onsite
HR Manager,Parekh,"Key Responsibilities: Talent Acquisition: Lead the recruitment process as well as Team, including job postings, candidate sourcing, screening, interviewing, and placement. Develop and implement effective talent acquisition strategies to meet organizational staffing needs. Manage the full-cycle recruitment process from job requisition to onboarding. Coordinate and schedule interviews with hiring managers and candidates. Work with department heads to understand their hiring needs and job specific…","Recruitment, Talent Acquisition","Mumbai, Maharashtra",Onsite
"HR- RPO-(Pharma,healthcare/hospitals)",People Alliance Workforce,"Key Responsibilities: Recruitment Lifecycle Management: Candidate Identification: Source candidates via portals, social networking, headhunting, references, job postings, and internal database. Screening: Conduct initial telephonic screening to assess candidate potential and interest. Negotiation: Discuss compensation and benefits with candidates, submit recommendations to clients, and follow up until closure. Coordination: Act as liaison between clients and candidates throughout the recruitmen…",Recruitment,"Bhopal, Madhya Pradesh",Onsite
People & Culture Coordinator,Neptune Ubicom,"We are looking for a leader passionate about building a solid relationship with the people in our organisation and impacting our culture with various initiatives. Why a leader? Leadership begins at the very beginning and is cultivated over time with the proper exposure and experience. In this role, you will get exposure to work on all the domains in an organisation that impacts its people and culture. While doing so, you could work independently and develop leadership. Sounds exciting? Are you …",Leadership,"Pune, Maharashtra",Onsite
Human Resources Business Partner,Infosys,"The key purpose of the HR Business Partner is to provide strategic arm to Business Units in meeting their day-to-day HR requirements. In this role, the HR Business Partner will liaise with the business leaders and managers to introduce specific HR initiatives relevant to business and recommend HR solutions aligned to business objectives. The core HR work includes, but is not limited to, maximizing people capability, providing change leadership, managing end to end employee lifecycle, supporting…",Leadership,Bengaluru,Onsite
Hr Assistant,Hakke Industries,"Recruitment Process Description: Hake Industries Objective: To ensure a structured, transparent, and efficient recruitment process for both blue-collar and white-collar positions, aligning with Hake Industries' workforce planning, skill requirements, and compliance standards. 1. Blue-Collar Hiring (Skilled/Unskilled Labor, Technicians, Operators, Helpers) Process Overview: Manpower Requisition : Department head submits a manpower request with role, count, and justification. Job Specification : …",Recruitment,Bengaluru,Onsite
Recruiter,NowIntern®,"Company Overview NowIntern is a Human Resources Services company headquartered in Bhopal, Madhya Pradesh, dedicated to empowering individuals to achieve their career goals. We provide tailored training, diverse job listings, and custom staffing solutions, serving as a bridge between top companies and aspiring professionals. With a focus on excellence, NowIntern offers personalized services to help transform career aspirations into achievements. More information can be found at nowintern.in . Jo…","Excel, Excel","Delhi, India",Onsite
Internal Firm Services - Human Capital - Assurance Deployment – AC Deployment Consultant - Manager,PricewaterhouseCoopers,"Industry/Sector Not Applicable Specialism IFS - Human Capital (HC) Management Level Manager Job Description & Summary At PwC, our people in talent and development focus on finding, deploying, training and enabling talent through talent identification and enhancing employee skills and knowledge, fostering a culture of continuous learning and professional growth. These individuals collaborate with subject matter specialists and project teams to strategize effective ways to locate, assess, educate…",,India,Onsite
Walk-in Drive For Talent Acquisition_Bangalore,Apexon,"Job Description Key Responsibilities Manage endtoend IT recruitment for C2H positions (sourcing screening interview coordination offer onboarding). Source candidates through Naukri, LinkedIn, Monster, job portals, social media, and internal databases. Work on niche and highdemand skills: Java, DevOps, Cloud, Data Engineering, SAP, ABAP, Oracle, Full Stack, Testing, etc. Conduct preliminary technical screening to assess candidate fitment. Handle salary discussions, notice period negotiations, an…","Java, Oracle, SAP, Recruitment, Talent Acquisition",Bengaluru,Onsite
HR Manager - HRBP,People Alliance Workforce,"Key Responsibilities: HR Strategy & Operations: Set objectives for the HR team and monitor progress. Review, approve, and manage HR budgets. Design and implement company policies. Monitor internal HR systems and maintain HR databases. Track key HR metrics and generate detailed reports on HR costs. Recommend HR software/tools to streamline processes (e.g., performance review systems). Act as a consultant to managers and employees on HR policies and procedures. Talent Acquisition & Recruitment: M…","Recruitment, Talent Acquisition","Delhi, India",Onsite
Assistant HR Manager,Thrillophilia.com,"Thrillophilia’s journey is rooted in a passion for travel, exploration, and adventure. It began back in 2011 when the global market was still too young for online travel transactions. Ever since we have grown to become India’s largest online platform for booking affordable travel experiences across 55 countries. Our offerings are diverse and wholesome, with 24,000 products and services ranging from tours and activities to luxury and culture stays, powered by exclusive deals and extra effort to …",,"Jaipur, Rajasthan",Onsite
"Senior Vice President, Workplace Experience, Asia Pacific",Mastercard,"Our Purpose _Mastercard powers economies and empowers people in 200 countries and territories worldwide. Together with our customers, we're helping build a sustainable economy where everyone can prosper. We support a wide range of digital payments choices, making transactions secure, simple, smart and accessible. Our technology and innovation, partnerships and networks combine to deliver a unique set of products and services that help people, businesses and governments realize their greatest po…",,"Pune, Maharashtra",Onsite
Business Development Lead,Rivago Infotech Inc,"Company Description Rivago Infotech Inc. is a global professional services and staffing organization specializing in IT, Non-IT, Healthcare, and Engineering sectors. Through our trusted Evergreen division, we deliver expert technical advisors and culture consultants to solve complex business challenges. With a strong client-first approach, Rivago is known for delivering top-tier talent, speed, and execution excellence. We are committed to empowering professionals while driving meaningful impact…","Rust, Excel, Excel",India,Onsite
Algorithmic Talent Match - Associate,Techolution,Title : Algorithmic Talent Match Associate Location : Remote Techolution looking for an energetic Algorithmic Talent Match Associate to assist with guiding candidates through a top-notch application process and to work with existing teams to help coordinate the recruiting efforts for the organization. This is an amazing opportunity to learn from a small close-knit team in a fast-paced environment as we grow our brands across the organization. Responsibilities: Create a job description from scra…,,India,Remote
Manpower Mobilization Coordinator & On-boarding Specialist (Saudi Arabia),Eram Talent,"A Leading Manpower company is seeking a skilled Manpower Mobilization Coordinator to join our client’s team in Saudi Arabia. The Manpower Mobilization Coordinator will be responsible for overseeing and coordinating the mobilization of workforce resources for various projects, ensuring effective communication and adherence to timelines and compliance standards. Key Responsibilities: Coordinate and manage the mobilization of workforce resources, ensuring compliance with local labor laws and compa…",Communication,India,Onsite
"Senior Business Analyst, Technology Services",Egon Zehnder,"The Company Egon Zehnder Egon Zehnder (www.egonzehnder.com) is trusted advisor to many of the world’s most respected organizations and a leading Executive Search firm, with more than 560 consultants and 66 offices in 36 countries spanning EMEA, the Americas and Asia Pacific. Our clients range from the largest corporations to emerging growth companies, government and regulatory bodies, and major educational and cultural institutions. The firm is a private partnership which allows us to operate i…",Rust,India,Onsite
International Sales Executive,Great Learning,Job Description Learning Consultant / Senior Learning Consultant Requirements Driving inquiries & admissions for the online/blended learning programs offered for the Domestic/International Market Looking after the entire sales life cycle: starting from engaging with the large volume of well qualied leads till the nal conversion i.e. enrolment in the program Counseling experienced professionals via call or email on which course will be useful to their career progression and suggest the best opti…,,"Gurgaon, Haryana",Onsite
Human Resouces Manager,Edjobster Pvt. Ltd,"Description: We are seeking a highly capable and experienced HR Manager to lead and oversee our human resources operations. The ideal candidate will be responsible for managing the overall HR strategy, implementing HR policies, and fostering a positive work culture aligned with our company’s mission and values. Key Responsibilities: Develop and implement HR strategies, policies, and initiatives aligned with the overall business strategy. Oversee the recruitment and selection process to attract …",Recruitment,India,Onsite
HR and Talent Acquisition Manager,360Medicare,Role Overview You will be joining 360Medicare a recruitment company specializing in healthcare staffing solutions as the HR and Talent Acquisition Manager based in Kochi Your role will involve leading recruitment initiatives implementing HR strategies and driving employee engagement to make a significant impact in a leadership capacity Key Responsibilities Lead talent acquisition efforts and enhance employee experience throughout the employee lifecycle from onboarding to offboarding Implement p…,"Recruitment, Talent Acquisition, Leadership",India,Onsite
HR cum Oprations Head,ACME INDIA MICROSYS PVT LTD,"Company Description ACME INDIA MICROSYS PVT LTD is committed to transforming computer education by delivering standardized methods of courseware, training, examination, and more. The company focuses on empowering underprivileged sections of society by providing affordable computer and vocational training, especially in rural areas of India. In a rapidly advancing digital age, the company strives to ensure that computer literacy is accessible to all, bridging the gap for students in underserved …",,"Mumbai, Maharashtra",Onsite
VP - Front Office Support (Structured Finance & Commercial Finance) Lead,Blackstone,"Blackstone is the world’s largest alternative asset manager. We seek to create positive economic impact and long-term value for our investors, the companies we invest in, and the communities in which we work. We do this by using extraordinary people and flexible capital to help companies solve problems. Our $1.1 trillion in assets under management include investment vehicles focused on private equity, real estate, public debt and equity, infrastructure, life sciences, growth equity, opportunist…",,India,Onsite
US Non-IT Recruiting Position-(Night Shift),ActiveSoft,"Job Requirement: US Non-IT Recruiting Position-(Night Shift) Location: Near Nagole Metro, Hyderabad,Telangana Duration:Full Time Shift:Night Shift-6:30 PM to 3:30 AM IST We are looking for a dynamic and motivated fresher to join our team as a US IT Recruiter. The ideal candidate will have a keen interest in IT recruitment and possess strong communication skills. Qualifications: Any Engineering Degree (BE/B.Tech) Strong verbal and written communication skills Ability to work in a fast-paced envi…","Recruitment, Communication","Hyderabad, Telangana",Onsite
Recruitment coordination and Account management,Webpipl Solutions Private Limited,"1. The person should be an enabler and a face of there to represent in all meetings and discussions with procurement team and if needed with business as well. a. Meetings all to be related with sourcing and the status. 2. Once the JP ID is created by CWP and shared with team, the enabler ensure we have profile submission. 3. Th enabler, to work with the CWP team members a. To get the slots b. To co-ordinate the interviews c. To follow up for feedback d. Facilitate the associates while they come…",Recruitment,"Hyderabad, Telangana",Onsite
Regional Manager HR,Club Mahindra,"Talent Management: Develop and implement talent management strategies to attract, retain, and develop high-performing employees across the region as per MHRIL Policies. Employee Engagement: Foster a positive and inclusive work environment that promotes employee engagement, motivation, and retention. Compliance: Ensure compliance with labor laws, regulations, and company policies across the region. Training and Development: Design and deliver training programs in coordination with L&D to enhance…",,"Delhi, India",Onsite
Remote Talent Acquisition Specialist .,Pierre Strand,"Company Description : Pierre Strand is a recruitment agency that believes in finding the perfect fit for both employers and job seekers. They connect the right talent to the right opportunity, leveraging their expertise and innovative approach to recruitment. Pierre Strand provides personalized service to create lasting partnerships that lead to mutual success. Role Description This part-time remote position is for a Recruiter - Indeed Job Posting . This position is responsible for posting jobs…","Recruitment, Talent Acquisition",Bengaluru,Remote
"Supervisor, Customer Experience",Conduent Business Services India LLP,"Through our dedicated associates, Conduent delivers mission-critical services and solutions on behalf of Fortune 100 companies and over 500 governments - creating exceptional outcomes for our clients and the millions of people who count on them. You have an opportunity to personally thrive, make a difference and be part of a culture where individuality is noticed and valued every day. Job Track Description: Assists others in achieving goals. Broad technical expertise and industry knowledge. Abi…",,Bengaluru,Onsite
HR Manager,ACE Money Transfer,"About Us: ACE Money Transfer is a UK-based multinational company headquartered in Manchester, United Kingdom. ACE Money Transfer provides online remittance services to individuals in 28 countries across the UK, Europe, Canada, and Australia, enabling them to send money across borders in over 100 countries. Job Title: HR Manager Reporting To: Chief Human Resources Officer Location : Kharian Job Summary: The HR Manager will lead and manage comprehensive HR functions, including HR operations, tale…",,India,Onsite
Hr Recruiter,Unknown,ATemps is looking Recruiter and Sr. Recruiter at Bhopal and Indore Office.About Atemps: Atemps is leading recruitment company where we provide various recruitment services to our clients. Atemps does not collect any fee/s from the candidates for recruitment.Salary: 1.80 LPA To 2.40 LPA ( Depend on last ctc )Male and female both can applyEligibility: Must have command in MS-office & Emailing Experience: 01-03 Years in Recruitment Good knowledge of Job portals and Head Hunting. excellent knowledg…,"Excel, Recruitment, Excel","Bhopal, Madhya Pradesh",Onsite
Recruiter,PRYDAN CONSULTANCY SERVICES PRIVATE LIMITED,"Job Title: Talent Acquisition Executive / Recruiter Location: Prahalad Nagar, Ahmedabad Experience: 0.6 – 2 Years (IT & Non-IT Recruitment) Employment Type: Full-time (Work from Office) Monday to Saturday Working Hours: 10:00 AM – 7:00 PM About the Role: We are looking for a dynamic and result-oriented Talent Acquisition Executive to manage the end-to-end recruitment cycle for multiple clients across PAN India. The ideal candidate should have strong sourcing skills, excellent communication, and…","Excel, Recruitment, Talent Acquisition, Excel, Communication","Ahmedabad, Gujarat",Onsite
"Manager, HRBP",Razorpay,"Razorpay is one of India’s leading full-stack financial technology companies, powering the way businesses move, manage, and grow money. Founded in 2014 by Harshil Mathur and Shashank Kumar with a simple vision - to simplify payments for Indian businesses - we’ve since grown into a fintech powerhouse driving India’s digital payment revolution. Razorpay powers millions of businesses with a smarter, scalable stack that goes beyond transactions to help them truly build and grow. From building AI-na…",Scala,Bengaluru,Onsite
HR (Talent sourcer),Auranft,"About Us Aura is developing a platform to help companies/communities mint, buy, trade and sell NFTs in the easiest manner possible. Developing a state of the art store front customized to the community and a user friendly interface to unlock the digital growth of companies in the gaming, art, music, etc space by leveraging the power of NFTs. We are assembling a high performing team from the tech ecosystem to build this product and compete with the likes of NBA TopShot. Responsibilities: Interac…",,India,Onsite
Branch Relationship Executive,Terrier Security Services,"branch relationship executive ₹12000 - ₹15000 / NTH / Monthly Location Muzaffarpur, Bihar Experience Required Fresher Education Required 12th Standard / PUC Gender Any Work mode Full time Shift Day Shift Days of work 6 Days/week Incentives Fuel Allowance Phone Allowance No Additional Benefit Other Requirements Aadhaar Card Job Description Branch Relationship Executive Roles and Responsibilities: Build and maintain relationships with branches, ensuring positive interactions and effective communi…",,"Muzaffarpur, Bihar",Onsite
Talent Connector Analyst,Accenture,"Skill required: Talent Acquisition - Talent Sourcing Designation: Talent Connector Analyst Qualifications: Any Graduation Years of Experience: 3 to 5 years About Accenture Accenture is a global professional services company with leading capabilities in digital, cloud and security.Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Technology and Operations services, and Accenture Song— all powered by the world’s largest network…",Talent Acquisition,India,Onsite
HR & Executive Assistant,Dezign Shark,"Job Summary: We are looking for a proactive and organized HR & Executive Assistant to join our team. This role is ideal for freshers who are eager to learn and grow in the fields of Human Resources and Executive Assistance. The candidate will be responsible for supporting HR operations and assisting senior management in administrative and coordination tasks. Key Responsibilities: Human Resources Responsibilities: Assist in recruitment processes, including job postings, screening resumes, and sc…",Recruitment,"Hyderabad, Telangana",Onsite
Recruitment Specialist Freshers,The Golden Rise Hyderabad,As a Recruiter Specialist at The Golden Rise headquartered in Gachibowli Hyderabad you will be responsible for overseeing the complete recruitment process in Vijayawada You will play a crucial role in connecting exceptional talent with leading global organizations and startups Your passion for talent acquisition and ability to thrive in a dynamic environment will be key in excelling in this role Manage the full recruitment lifecycle including sourcing screening scheduling interviews and facilit…,"Excel, Recruitment, Talent Acquisition, Excel",India,Onsite
Human Resource Executive,GDS MARKETING,"Responsibilities: Collaborate with Business Unit and under the guidance of Recruiting Manager to close all open position requirements Research and identify the most suitable platforms and options for sourcing relevant profiles Develop and update job descriptions and job specifications for sourcing relevant profiles Responsible to screen candidates resumes and job applications with regards to relevant knowledge, technical skills, soft skills, experience and aptitudes Conduct interviews using var…",,India,Onsite
HR Intern,CrelioHealth,"Position: HR Intern Location: Baner, Pune Experience: 0-1 Years Industry: IT (Healthcare Product) Work Mode - Work From Office Interview Process - Face to Face About the Role We are looking for a proactive and detail oriented Recruitment Intern to support our end-to-end hiring process. This role offers hands-on exposure to technical recruitment and an opportunity to work closely with hiring managers to identify and onboard top talent. Roles & Responsibilities Assist in sourcing candidates throu…",Recruitment,"Pune, Maharashtra",Onsite
HR Head,Dr Aravind S Ivf Fertility Pregnancy Centre,"Key Responsibilities HR Strategy & Planning Develop and implement comprehensive HR strategies aligned with business objectives. Analyze HR metrics and provide data-driven insights to inform organizational decisions. Talent Acquisition & Management Manage recruitment, talent acquisition, and employee retention initiatives. Oversee performance management, training, and development programs. Compliance & Employee Relations Ensure compliance with labor laws and regulations. Foster a positive work e…","Recruitment, Talent Acquisition","Coimbatore, Tamil Nadu",Onsite
Senior Analyst - Human Resources,Cantor Fitzgerald,"Description Experience: 4–7 years Work Mode: Work from Office (5 days a week) Job Summary We are looking for a Senior Analyst – Recruitment with hands-on experience in both IT and Non-IT hiring. The ideal candidate should be fast, detail-oriented, and execution-focused, with strong communication skills and the ability to manage multiple requirements in a dynamic environment. Key Responsibilities Manage end-to-end recruitment for IT and Non-IT roles Partner with hiring managers to understand req…","Recruitment, Communication","Hyderabad, Telangana",Onsite
Bench Sales Recruiter,Fronix Solutions,"Job Profile: Fronix Solutions provides more than just gifted professionals; we provide top talent to back up your business in attaining their objectives. Our consulting teams are based from inside and around our core operational areas, ensuring on-target skillsets. We are looking for an All-Star US IT Bench sales recruiter with 1-5 years of experience in attending to and closing customary and niche positions with ease. We need someone who thrives in a fast-paced environment and has a strong bac…",,"Hyderabad, Telangana",Onsite
"Talent Acquisition Specialist - Remote, Full Time",Bold Business,"We’re looking for an experienced, proactive, and relationship-driven Talent Acquisition Specialist to join our team and deliver top talent to our clients. This is a Sourcing, Recruiting, and Client-Facing role, ideal for someone with 3 years of experience in recruitment or talent sourcing who enjoys proactive sourcing, persuasive outreach, and consultative conversations. We are an AI-first company, so only those that embrace technology, leverage automation to enhance their productivity, and are…","Recruitment, Talent Acquisition",India,Remote
Talent Acquisition Specialist,Apna,"Apna is seeking a Recruiter to join our team. As a Recruiter, you will be responsible for sourcing, screening, and hiring candidates for various positions in the company. You will work closely with hiring managers to understand their staffing needs and develop effective recruitment strategies. If you are passionate about talent acquisition and have excellent communication and interpersonal skills, we would love to hear from you. Requirement : 2 Location : Bangalore -Work From Office (Domlur) Ex…","Excel, Recruitment, Talent Acquisition, Excel, Communication",India,Onsite
Talent Acquisition_HR,Hunarstreet Technologies Pvt Ltd,"Location: Tarapur MIDC, Boisar, Dist. Palghar, Maharashtra. Job Location: 1. Tarapur MIDC. Tarapur MIDC, Boisar, Dist. Palghar, Maharashtra. 2. Tarapur- Railway station Boisar takes 1.5 hrs. by train from Borivali Station or by road via Western Express Highway. 3. Suburban local trains direct from Churchgate to Boisar Railway station. 4. For outstation bachelors, Company provides a subsidized guest house with a cook. 5. For outstation families, Company provides subsidized accommodation in compa…",Talent Acquisition,India,Onsite
Recruitment Specialist,AEHire India Pvt Ltd,"Job Description: Experience : 1 - 3 years (min 1 year in IT recruitment) Location : Mumbai, Pune & Bengaluru. IT IS PERMANENT WORK FROM HOME OPPORTUNITY The areas of responsibilities/skills for the Technical Recruiter include: (Job Responsibility) Review Job descriptions to understand the needs of the client as well to ask questions thatll help you identify the right candidate(s). This is by far the most important skill a technical recruiter needs. Understand technology, technical roles and tec…",Recruitment,India,Remote
